ItemSizeTest, 1, 100
0,0.007113933563232422,IP_PREFIX&
1,0.004303693771362305,COMMUNITIES&
2,0.0030078887939453125,COMMUNITIES&
3,0.004627227783203125,NEXT_HOP&
4,0.0028908252716064453,MED&
5,0.004616975784301758,NEXT_HOP&
6,0.0039937496185302734,COMMUNITIES&
7,0.0033757686614990234,MED&
8,0.006648063659667969,IP_PREFIX&
9,0.3271510601043701,AS_PATH&
10,0.003195047378540039,COMMUNITIES&
11,0.24036192893981934,AS_PATH&
12,0.24912095069885254,AS_PATH&
13,0.006217002868652344,IP_PREFIX&
14,0.23465609550476074,AS_PATH&
15,0.003268003463745117,NEXT_HOP&
16,0.0032758712768554688,COMMUNITIES&
17,0.1505289077758789,AS_PATH&
18,0.0028390884399414062,COMMUNITIES&
19,0.0040740966796875,IP_PREFIX&
20,0.0029931068420410156,COMMUNITIES&
21,0.0029981136322021484,MED&
22,0.002888917922973633,COMMUNITIES&
23,0.26674485206604004,AS_PATH&
24,0.004920244216918945,IP_PREFIX&
25,0.004515886306762695,NEXT_HOP&
26,0.0049610137939453125,NEXT_HOP&
27,0.005432844161987305,COMMUNITIES&
28,0.004684925079345703,IP_PREFIX&
29,0.46597719192504883,AS_PATH&
30,0.005643129348754883,NEXT_HOP&
31,0.0032758712768554688,MED&
32,0.003020048141479492,MED&
33,0.4826381206512451,AS_PATH&
34,0.0038878917694091797,MED&
35,0.38152408599853516,AS_PATH&
36,0.0037741661071777344,NEXT_HOP&
37,0.003185749053955078,NEXT_HOP&
38,0.270183801651001,AS_PATH&
39,0.006951808929443359,IP_PREFIX&
40,0.0052988529205322266,NEXT_HOP&
41,0.004830360412597656,IP_PREFIX&
42,0.0030422210693359375,MED&
43,0.0032699108123779297,NEXT_HOP&
44,0.003353118896484375,COMMUNITIES&
45,0.24566388130187988,AS_PATH&
46,0.002975940704345703,COMMUNITIES&
47,0.0032927989959716797,NEXT_HOP&
48,0.0028390884399414062,MED&
49,0.2515430450439453,AS_PATH&
50,0.003810882568359375,NEXT_HOP&
51,0.002969980239868164,MED&
52,0.0031790733337402344,COMMUNITIES&
53,0.0029649734497070312,MED&
54,0.0030770301818847656,COMMUNITIES&
55,0.0033349990844726562,MED&
56,0.28302812576293945,AS_PATH&
57,0.0032448768615722656,NEXT_HOP&
58,0.003342151641845703,NEXT_HOP&
59,0.0030150413513183594,COMMUNITIES&
60,0.004730224609375,IP_PREFIX&
61,0.0030689239501953125,COMMUNITIES&
62,0.25632691383361816,AS_PATH&
63,0.00444793701171875,IP_PREFIX&
64,0.0034508705139160156,IP_PREFIX&
65,0.22073602676391602,AS_PATH&
66,0.0071299076080322266,NEXT_HOP&
67,0.0032529830932617188,MED&
68,0.003670930862426758,NEXT_HOP&
69,0.004689931869506836,IP_PREFIX&
70,0.2396101951599121,AS_PATH&
71,0.002900838851928711,COMMUNITIES&
72,0.2186579704284668,AS_PATH&
73,0.002772092819213867,COMMUNITIES&
74,0.003824949264526367,IP_PREFIX&
75,0.002858877182006836,COMMUNITIES&
76,0.004346132278442383,NEXT_HOP&
77,0.003676891326904297,MED&
78,0.004149198532104492,IP_PREFIX&
79,0.0027320384979248047,MED&
80,0.0037550926208496094,IP_PREFIX&
81,0.005476951599121094,NEXT_HOP&
82,0.0035130977630615234,COMMUNITIES&
83,0.0030488967895507812,COMMUNITIES&
84,0.0035560131072998047,NEXT_HOP&
85,0.38211822509765625,AS_PATH&
86,0.00275421142578125,MED&
87,0.004851102828979492,NEXT_HOP&
88,0.003732919692993164,MED&
89,0.0029010772705078125,COMMUNITIES&
90,0.0027799606323242188,COMMUNITIES&
91,0.004271030426025391,IP_PREFIX&
92,0.0035071372985839844,NEXT_HOP&
93,0.0029311180114746094,MED&
94,0.23966407775878906,AS_PATH&
95,0.0033719539642333984,NEXT_HOP&
96,0.003507852554321289,IP_PREFIX&
97,0.3858449459075928,AS_PATH&
98,0.0046579837799072266,IP_PREFIX&
99,0.0027718544006347656,MED&
